stock,date,second,number,inout_ratio,main_ratio,win,lose,money
3443,20180615,225.0,72.0,0.847058823529,0.430555555556,3,7,971037.5
3443,20180615,236.0,85.0,0.745614035088,0.447058823529,2,4,986212.5
2456,20180702,221.0,587.0,0.89755351682,0.604770017036,0,1,997072.5
3443,20180615,80.0,84.0,0.954545454545,0.416666666667,3,3,991390.0
4906,20180704,190.0,275.0,0.820895522388,0.567272727273,0,1,999560.0
3443,20180619,130.0,45.0,0.789473684211,0.577777777778,2,6,974837.5
3443,20180619,110.0,173.0,0.982954545455,0.404624277457,0,1,994967.5
3443,20180620,101.0,37.0,0.787234042553,0.567567567568,3,11,960197.5
2456,20180703,50.0,237.0,0.967346938776,0.582278481013,2,6,985970.0
2456,20180703,41.0,149.0,0.886904761905,0.590604026846,5,11,976365.0
2456,20180703,140.0,344.0,0.464237516869,0.5,2,6,985967.5
3443,20180628,186.0,33.0,0.80487804878,0.666666666667,2,12,951027.5
2456,20180703,95.0,141.0,0.573170731707,0.404255319149,6,19,954997.5
2456,20180703,85.0,119.0,0.991666666667,0.394957983193,5,21,948125.0
2456,20180703,71.0,40.0,0.454545454545,0.7,6,25,939567.5
2456,20180703,95.0,16.0,0.695652173913,0.5625,7,28,930585.0
2456,20180704,55.0,196.0,0.942307692308,0.535714285714,6,11,979077.5
2456,20180706,150.0,141.0,0.414705882353,0.375886524823,6,18,960377.5
3443,20180702,121.0,129.0,0.848684210526,0.341085271318,0,3,990317.5
3443,20180706,110.0,20.0,0.5,0.65,10,9,982107.5
3443,20180706,196.0,69.0,0.945205479452,0.724637681159,4,1,1004872.5
3443,20180710,56.0,103.0,1.0,0.679611650485,5,2,1002527.5
